"from","to"
"AEYR27RUJI","GJM6DRANT8"
"GJM6DRANT8","55ICRUT385"
"GJM6DRANT8","AEYR27RUJI"
"79KVH51TRZ","JVX6TN7IF7"
"79KVH51TRZ","5UR1VENPVY"
"79KVH51TRZ","KK4G1SC5DS"
"JVX6TN7IF7","5UR1VENPVY"
"JVX6TN7IF7","6YTO4ZJJ5M"
"JVX6TN7IF7","Y262JWSBHX"
"S8SPQODOFY","2FUTXW4FSD"
"S8SPQODOFY","7UG9V9FR9I"
"55ICRUT385","2FUTXW4FSD"
"55ICRUT385","AEYR27RUJI"
"Y262JWSBHX","JVX6TN7IF7"
"Y262JWSBHX","6YTO4ZJJ5M"
"2FUTXW4FSD","55ICRUT385"
"2FUTXW4FSD","GJM6DRANT8"
