"from","to"
"KESXJGN76P","6JECRGX5IL"
"KESXJGN76P","FGURC33MSY"
"KESXJGN76P","UO2FR7JK8X"
"KESXJGN76P","AF4ZHKSM6D"
"KESXJGN76P","XQNOMKX7XV"
"FGURC33MSY","QTHPD5WPIJ"
"KEPGBSX7CY","TGNE9Q0XJM"
"KEPGBSX7CY","BLQGP8TGBP"
"Z6S90V62PJ","57DR9AVOQI"
"Z6S90V62PJ","FE9FTYVS9S"
"XQNOMKX7XV","1LZ1FJSIWR"
"XQNOMKX7XV","AF4ZHKSM6D"
"KOBNSPMJOB","57DR9AVOQI"
"KOBNSPMJOB","6JECRGX5IL"
"TGNE9Q0XJM","KOBNSPMJOB"
"TGNE9Q0XJM","KEPGBSX7CY"
"TGNE9Q0XJM","YPX0Y6Z8JC"
"TGNE9Q0XJM","BLQGP8TGBP"
"BTTA4RGJAN","57DR9AVOQI"
"BTTA4RGJAN","7JRZBNHLLY"
"BTTA4RGJAN","VS5KH4CKZP"
"BTTA4RGJAN","8E24VMF54M"
"VRTRQUE4MR","NPZUR93FMU"
"LEC2JK8HIY","7NDI4CMZEY"
"LEC2JK8HIY","BCE7K7R8MO"
"4XIW5O8S1T","NHFE47UN7I"
"4XIW5O8S1T","GWAKW84J5D"
"9OTH7JQL8N","VRTRQUE4MR"
"9OTH7JQL8N","1MRV8CJOZL"
"IA14P0GL8Z","UXM608VPUX"
"EZ5SN616LA","0KW0QLGRZT"
"EZ5SN616LA","BCE7K7R8MO"
"BCE7K7R8MO","57DR9AVOQI"
"BCE7K7R8MO","PBA2XREP9G"
"BLQGP8TGBP","TGNE9Q0XJM"
"BLQGP8TGBP","KEPGBSX7CY"
"I971PVFVH9","2G1ZL3OA71"
"AF4ZHKSM6D","6JECRGX5IL"
"AF4ZHKSM6D","KESXJGN76P"
"NPZUR93FMU","VRTRQUE4MR"
"4XKTH9EUWR","A6HWF8XIRZ"
"4XKTH9EUWR","TFO0X0X40N"
"4XKTH9EUWR","UYV0SSKCPN"
"PU8X9MB32R","CCAJ63PY6Y"
"PU8X9MB32R","TTAR8TNZIZ"
"PU8X9MB32R","Y3SZ51PKQL"
"PU8X9MB32R","7X8F62PXYP"
"CCAJ63PY6Y","N6OCBKWYSN"
"CCAJ63PY6Y","TTAR8TNZIZ"
"CCAJ63PY6Y","7X8F62PXYP"
"CCAJ63PY6Y","PU8X9MB32R"
"CCAJ63PY6Y","BVYE8DOYQP"
"UO2FR7JK8X","U20EF9K9AA"
"UO2FR7JK8X","NHFE47UN7I"
"UOYDUNRX01","4MQ5OCKG8U"
"UOYDUNRX01","XX44BJNJ7A"
"SPRZUN1LTK","P8R99ZLM01"
"SPRZUN1LTK","X9D27BBO4J"
"SPRZUN1LTK","XZPAZLWFF0"
"SPRZUN1LTK","2G1ZL3OA71"
"P8R99ZLM01","SPRZUN1LTK"
"P8R99ZLM01","X9D27BBO4J"
"P8R99ZLM01","XZPAZLWFF0"
"P8R99ZLM01","2G1ZL3OA71"
"46YDZQO9AW","FGURC33MSY"
"46YDZQO9AW","3Q2V8HIJH6"
"46YDZQO9AW","QTHPD5WPIJ"
"46YDZQO9AW","KEPGBSX7CY"
"97TZWVPII1","N6OCBKWYSN"
"97TZWVPII1","IT7J3I98TY"
"97TZWVPII1","B0YG7KDYD8"
"97TZWVPII1","081NZ6MRRA"
"97TZWVPII1","VJDHFHJMCD"
"97TZWVPII1","2QST2268AV"
"97TZWVPII1","WJPIUFYBZK"
"U20EF9K9AA","NHFE47UN7I"
"U20EF9K9AA","XQNOMKX7XV"
"KWW91GDKV6","A7MZ15MNRV"
"KWW91GDKV6","MCHTZPBPHT"
"KWW91GDKV6","YPX0Y6Z8JC"
"7CLIG53S7N","VS5KH4CKZP"
"7CLIG53S7N","YGXXWN9HW9"
"Q05KXEFH3N","N6OCBKWYSN"
"4JCJLECAIR","HAQHZVWFCQ"
"4JCJLECAIR","NHFE47UN7I"
"4JCJLECAIR","4XIW5O8S1T"
"4JCJLECAIR","VJDHFHJMCD"
"AFB6T4QHVC","F2Q6NKTNXK"
"4MQ5OCKG8U","S1754U6Y9V"
"4MQ5OCKG8U","8E24VMF54M"
"034TTUJBI6","57DR9AVOQI"
"034TTUJBI6","QWULZJCB0B"
"034TTUJBI6","FE9FTYVS9S"
"PBA2XREP9G","57DR9AVOQI"
"PBA2XREP9G","Y3SZ51PKQL"
"PBA2XREP9G","EZ5SN616LA"
"PBA2XREP9G","BCE7K7R8MO"
"PBA2XREP9G","FE9FTYVS9S"
"YGXXWN9HW9","7CLIG53S7N"
"FE9FTYVS9S","57DR9AVOQI"
"FE9FTYVS9S","034TTUJBI6"
"FE9FTYVS9S","PBA2XREP9G"
"FE9FTYVS9S","Z6S90V62PJ"
"FE9FTYVS9S","X9D27BBO4J"
"FE9FTYVS9S","QWULZJCB0B"
"FE9FTYVS9S","2IKTBXUOG2"
"1ZWNMAE8HR","JOZSP1FZXX"
"1ZWNMAE8HR","KWW91GDKV6"
"1ZWNMAE8HR","WF22UEXD8K"
"1ZWNMAE8HR","UO2FR7JK8X"
"1ZWNMAE8HR","2G1ZL3OA71"
"1ZWNMAE8HR","BLQGP8TGBP"
"1ZWNMAE8HR","2IKTBXUOG2"
"WF22UEXD8K","1ZWNMAE8HR"
"NHFE47UN7I","1ZWNMAE8HR"
"NHFE47UN7I","HAQHZVWFCQ"
"NHFE47UN7I","UO2FR7JK8X"
"NHFE47UN7I","P3OWGXAN8I"
"NHFE47UN7I","Z9Z2RD4RKQ"
"NHFE47UN7I","GWAKW84J5D"
"NHFE47UN7I","F2Q6NKTNXK"
"NHFE47UN7I","4XIW5O8S1T"
"TTAR8TNZIZ","A6HWF8XIRZ"
"TTAR8TNZIZ","CCAJ63PY6Y"
"TTAR8TNZIZ","N6OCBKWYSN"
"TTAR8TNZIZ","1LZ1FJSIWR"
"TTAR8TNZIZ","7X8F62PXYP"
"TTAR8TNZIZ","BVYE8DOYQP"
"IT7J3I98TY","VJDHFHJMCD"
"VJDHFHJMCD","97TZWVPII1"
"VJDHFHJMCD","IT7J3I98TY"
"VJDHFHJMCD","HAQHZVWFCQ"
"VJDHFHJMCD","Z9Z2RD4RKQ"
"VJDHFHJMCD","4XIW5O8S1T"
"VJDHFHJMCD","4JCJLECAIR"
"XZPAZLWFF0","SPRZUN1LTK"
"XZPAZLWFF0","P8R99ZLM01"
"XZPAZLWFF0","2G1ZL3OA71"
"X9D27BBO4J","SPRZUN1LTK"
"X9D27BBO4J","P8R99ZLM01"
"X9D27BBO4J","2G1ZL3OA71"
"7X8F62PXYP","JOZSP1FZXX"
"7X8F62PXYP","034TTUJBI6"
"7X8F62PXYP","CCAJ63PY6Y"
"7X8F62PXYP","N6OCBKWYSN"
"7X8F62PXYP","TTAR8TNZIZ"
"7X8F62PXYP","1LZ1FJSIWR"
"7X8F62PXYP","PU8X9MB32R"
"24D6YS5YQR","3Q2V8HIJH6"
"3Q2V8HIJH6","LAF94J6QBZ"
"3Q2V8HIJH6","3MCZYCGDG3"
"3Q2V8HIJH6","24D6YS5YQR"
"3Q2V8HIJH6","46YDZQO9AW"
"3Q2V8HIJH6","B6C8408XUG"
"3Q2V8HIJH6","UOYDUNRX01"
"EOWICTH5NA","PKMC12XMNL"
"ITEE6EPL9H","3MCZYCGDG3"
"ITEE6EPL9H","RRZXDL6HPF"
"FGG5OQCPCQ","53AXH4AVPM"
"57DR9AVOQI","034TTUJBI6"
"57DR9AVOQI","PBA2XREP9G"
"57DR9AVOQI","KOBNSPMJOB"
"57DR9AVOQI","BCE7K7R8MO"
"57DR9AVOQI","QWULZJCB0B"
"57DR9AVOQI","FE9FTYVS9S"
"57DR9AVOQI","BTTA4RGJAN"
"57DR9AVOQI","YPX0Y6Z8JC"
"57DR9AVOQI","BLQGP8TGBP"
"Z9Z2RD4RKQ","N6OCBKWYSN"
"Z9Z2RD4RKQ","HAQHZVWFCQ"
"DEFON2VKF7","I7UL6DC3A9"
"DEFON2VKF7","MM9188H3M5"
"DEFON2VKF7","UFOV09C2LL"
"DEFON2VKF7","9OTH7JQL8N"
"DEFON2VKF7","PKMC12XMNL"
"YPX0Y6Z8JC","57DR9AVOQI"
"YPX0Y6Z8JC","0KW0QLGRZT"
"YPX0Y6Z8JC","1ZWNMAE8HR"
"YPX0Y6Z8JC","ITEE6EPL9H"
"YPX0Y6Z8JC","TGNE9Q0XJM"
"YPX0Y6Z8JC","X9D27BBO4J"
"YPX0Y6Z8JC","AV2R1MPC3I"
"YPX0Y6Z8JC","XQNOMKX7XV"
"YPX0Y6Z8JC","JP3TWW5VPZ"
"UFOV09C2LL","I7UL6DC3A9"
"UFOV09C2LL","MM9188H3M5"
"UFOV09C2LL","9OTH7JQL8N"
"UFOV09C2LL","VS5KH4CKZP"
"2G1ZL3OA71","SPRZUN1LTK"
"2G1ZL3OA71","P8R99ZLM01"
"2G1ZL3OA71","X9D27BBO4J"
"2G1ZL3OA71","XZPAZLWFF0"
"NHFSCQDVLW","HAQHZVWFCQ"
"NHFSCQDVLW","UO2FR7JK8X"
"NHFSCQDVLW","7CLIG53S7N"
"NHFSCQDVLW","Y3SZ51PKQL"
"NHFSCQDVLW","UYV0SSKCPN"
"NHFSCQDVLW","YGXXWN9HW9"
"8INOJX6XQW","U20EF9K9AA"
"TFO0X0X40N","A6HWF8XIRZ"
"TFO0X0X40N","6LRJGVOET7"
"TFO0X0X40N","VS5KH4CKZP"
"TFO0X0X40N","8E24VMF54M"
"3MCZYCGDG3","3Q2V8HIJH6"
"3MCZYCGDG3","RRZXDL6HPF"
"3MCZYCGDG3","ITEE6EPL9H"
"3MCZYCGDG3","B6C8408XUG"
"53AXH4AVPM","FE9FTYVS9S"
"53AXH4AVPM","FGG5OQCPCQ"
"53AXH4AVPM","2IKTBXUOG2"
"2QST2268AV","97TZWVPII1"
"2QST2268AV","B0YG7KDYD8"
"ZMCNED0OTV","C4E7VR1FQX"
"42I17D0TKL","B6C8408XUG"
"JOZSP1FZXX","0KW0QLGRZT"
"JOZSP1FZXX","FJ88E1RYQA"
"JOZSP1FZXX","SIHN1JCAR5"
"0KW0QLGRZT","Y3SZ51PKQL"
"0KW0QLGRZT","ITEE6EPL9H"
"0KW0QLGRZT","01RCDHWETA"
"1LZ1FJSIWR","UXM608VPUX"
"22IALSWBR1","I7UL6DC3A9"
"22IALSWBR1","A6HWF8XIRZ"
"22IALSWBR1","1ZWNMAE8HR"
"22IALSWBR1","KWW91GDKV6"
"22IALSWBR1","P3OWGXAN8I"
"22IALSWBR1","X9D27BBO4J"
"22IALSWBR1","4XIW5O8S1T"
"22IALSWBR1","4JCJLECAIR"
"F2Q6NKTNXK","AFB6T4QHVC"
"A6HWF8XIRZ","4XKTH9EUWR"
"A6HWF8XIRZ","6LRJGVOET7"
"A6HWF8XIRZ","BVYE8DOYQP"
"6JECRGX5IL","PBA2XREP9G"
"6JECRGX5IL","KOBNSPMJOB"
"6JECRGX5IL","UO2FR7JK8X"
"6JECRGX5IL","AF4ZHKSM6D"
"DDS8SW6QAF","2IKTBXUOG2"
"C4E7VR1FQX","B6C8408XUG"
"1MRV8CJOZL","VRTRQUE4MR"
"Q53J2Q2WQJ","4XKTH9EUWR"
"8E24VMF54M","TFO0X0X40N"
"8E24VMF54M","FGURC33MSY"
"8E24VMF54M","7JRZBNHLLY"
"8E24VMF54M","OTH922UTEN"
"4H6FF46M2Y","57DR9AVOQI"
"4H6FF46M2Y","6JECRGX5IL"
"4H6FF46M2Y","JOZSP1FZXX"
"4H6FF46M2Y","1LZ1FJSIWR"
"4H6FF46M2Y","081NZ6MRRA"
"4H6FF46M2Y","WJPIUFYBZK"
"SIHN1JCAR5","YYA6G7OE00"
"SIHN1JCAR5","2IKTBXUOG2"
"081NZ6MRRA","DN1OOXFTJU"
"081NZ6MRRA","PBA2XREP9G"
"081NZ6MRRA","N6OCBKWYSN"
"081NZ6MRRA","1LZ1FJSIWR"
"081NZ6MRRA","B0YG7KDYD8"
"N6OCBKWYSN","Z9Z2RD4RKQ"
"OAZHYQ9RK2","C4E7VR1FQX"
"OAZHYQ9RK2","IA14P0GL8Z"
"OAZHYQ9RK2","7NDI4CMZEY"
"FJ88E1RYQA","0KW0QLGRZT"
"FJ88E1RYQA","JOZSP1FZXX"
"4SDWATPSAN","UXM608VPUX"
"4SDWATPSAN","Q53J2Q2WQJ"
"4SDWATPSAN","BTTA4RGJAN"
"XX44BJNJ7A","4MQ5OCKG8U"
"XX44BJNJ7A","MCHTZPBPHT"
"XX44BJNJ7A","UOYDUNRX01"
"XX44BJNJ7A","2IKTBXUOG2"
"6LRJGVOET7","A6HWF8XIRZ"
"6LRJGVOET7","TFO0X0X40N"
"I7UL6DC3A9","MM9188H3M5"
"I7UL6DC3A9","UFOV09C2LL"
"I7UL6DC3A9","DEFON2VKF7"
"MWJQB3JVZY","JOZSP1FZXX"
"MWJQB3JVZY","1LZ1FJSIWR"
"MWJQB3JVZY","7X8F62PXYP"
"P88301E3BK","GWAKW84J5D"
"P88301E3BK","UYV0SSKCPN"
"P88301E3BK","4XIW5O8S1T"
"OHUUF99WGD","DN1OOXFTJU"
"OHUUF99WGD","081NZ6MRRA"
"OHUUF99WGD","KEPGBSX7CY"
"OHUUF99WGD","WJPIUFYBZK"
"PYG6SV00CX","DDS8SW6QAF"
"QTHPD5WPIJ","FGURC33MSY"
