     0.700     0.000     0.600     0.400     0.700     0.000     0.000     0.100     0.000     1.000     0.000     0.000     2.000
     0.000     0.565     0.217     0.000     0.000     0.717     0.000     0.065     0.000     0.000     0.000     1.000     4.000
     0.000     0.519     0.148     0.056     0.000     0.352     0.426     0.093     0.000     0.000     0.987     0.013     3.000
     0.000     0.452     0.097     0.183     0.000     0.785     0.000     0.355     0.000     0.000     0.000     1.000     4.000
     0.000     0.495     0.186     0.000     0.000     0.505     0.206     0.206     0.000     0.000     0.000     1.000     4.000
     0.000     0.455     0.200     0.000     0.000     0.673     0.000     0.127     0.000     0.000     0.000     1.000     4.000
     0.000     0.618     0.182     0.055     0.000     0.364     0.364     0.236     0.000     0.000     0.474     0.526     4.000
     0.342     0.474     0.211     0.316     0.395     0.000     0.184     0.079     0.000     1.000     0.000     0.000     2.000
     0.474     0.237     0.263     0.395     0.447     0.000     0.000     0.026     0.000     1.000     0.000     0.000     2.000
     0.389     0.500     0.167     0.139     0.167     0.000     0.472     0.000     0.003     0.016     0.981     0.000     3.000
     0.000     0.489     0.000     0.045     0.000     0.000     1.000     0.205     0.000     0.000     1.000     0.000     3.000
     0.000     0.000     0.138     0.828     0.000     0.000     0.138     0.000     1.000     0.000     0.000     0.000     1.000
     0.000     0.000     0.286     0.821     0.000     0.000     0.143     0.000     1.000     0.000     0.000     0.000     1.000
     0.000     0.579     0.000     0.000     0.000     0.921     0.000     0.132     0.000     0.000     0.000     1.000     4.000
     0.000     0.395     0.000     0.000     0.000     0.974     0.000     0.132     0.000     0.000     0.000     1.000     4.000
     0.000     0.525     0.000     0.000     0.000     1.000     0.000     0.150     0.000     0.000     0.000     1.000     4.000
     0.000     0.575     0.000     0.000     0.000     1.000     0.000     0.175     0.000     0.000     0.000     1.000     4.000
     0.000     0.725     0.013     0.037     0.000     0.000     0.988     0.225     0.000     0.000     1.000     0.000     3.000
     0.000     0.237     0.000     0.037     0.000     0.000     0.988     0.200     0.000     0.000     1.000     0.000     3.000
     0.000     0.560     0.000     0.040     0.000     0.000     0.973     0.240     0.000     0.000     1.000     0.000     3.000
     0.000     0.487     0.000     0.025     0.000     0.000     0.988     0.100     0.000     0.000     1.000     0.000     3.000
     0.000     0.446     0.000     0.054     0.000     0.000     0.919     0.176     0.000     0.000     1.000     0.000     3.000
     0.000     0.480     0.000     0.080     0.000     0.880     0.000     0.240     0.000     0.000     0.000     1.000     4.000
     0.000     0.520     0.000     0.120     0.000     0.800     0.000     0.320     0.000     0.000     0.000     1.000     4.000
     0.000     0.542     0.048     0.084     0.000     0.000     0.892     0.205     0.000     0.000     1.000     0.000     3.000
     0.000     0.542     0.036     0.084     0.000     0.000     0.916     0.253     0.000     0.000     1.000     0.000     3.000
     0.000     0.614     0.060     0.108     0.000     0.000     0.904     0.301     0.000     0.000     1.000     0.000     3.000
     0.000     0.470     0.036     0.096     0.000     0.000     0.964     0.241     0.000     0.000     1.000     0.000     3.000
     0.450     0.000     0.225     0.825     0.350     0.000     0.050     0.350     0.001     0.999     0.000     0.000     2.000
