"CQ","MG","PQ","Lec","CG","WG","OG","SQ","Study","Method","Course","Profile"
0,0.542168675,0.036144578,0.084337349,0,0,0.915662651,0.253012048,"Commeford",NA,NA,4
0,0.614457831,0.060240964,0.108433735,0,0,0.903614458,0.301204819,"Commeford",NA,NA,4
0,0.469879518,0.036144578,0.096385542,0,0,0.963855422,0.240963855,"Commeford",NA,NA,4
0.45,0,0.225,0.825,0.35,0,0.05,0.35,"Commeford",NA,NA,2
0.325,0,0.3,0.825,0.25,0,0,0.325,"Commeford",NA,NA,1
0.404761905,0,0.285714286,0.785714286,0.333333333,0,0.047619048,0.166666667,"Commeford",NA,NA,2
0.3,0,0.2,0.8,0.35,0,0,0.25,"Commeford",NA,NA,2
0,1,0,0,0,1,0,0.5,"Commeford",NA,NA,3
0,1,0,0,0,1,0,0.2,"Commeford",NA,NA,3
0,0.8,0,0,0,1,0,0.2,"Commeford",NA,NA,3
0,0.7,0,0,0,1,0,0.3,"Commeford",NA,NA,3
0,0.6,0,0.1,0,0.8,0,0.5,"Commeford",NA,NA,3
0,0.9,0,0,0,1,0,0.4,"Commeford",NA,NA,3
0,0.7,0,0,0,1,0,0.5,"Commeford",NA,NA,3
0,0.9,0,0,0,1,0,0.7,"Commeford",NA,NA,3
0,1,0,0,0,1,0,0.5,"Commeford",NA,NA,3
0,0.8,0,0,0,1,0,0.6,"Commeford",NA,NA,3
0,0.3,0,0,0,1,0,0.2,"Commeford",NA,NA,3
0,0.8,0,0,0,1,0,0.5,"Commeford",NA,NA,3
0,0.9,0,0,0,1,0,0.6,"Commeford",NA,NA,3
0,0.9,0,0,0,1,0,0.6,"Commeford",NA,NA,3
0,0.2,0,0,0,1,0,0.9,"Commeford",NA,NA,3
0,1,0,0,0,1,0,0.4,"Commeford",NA,NA,3
0,0.9,0,0,0,1,0,0.7,"Commeford",NA,NA,3
0,0.9,0,0,0,1,0,0.5,"Commeford",NA,NA,3
0,1,0,0,0,1,0,0.7,"Commeford",NA,NA,3
0.7,0,0.2,0.9,0.4,0,0,0.1,"Commeford",NA,NA,2
0,0,0.029,0.824,0,0,0,0.029,"Stains",NA,NA,1
0,0,0.029,0.971,0,0,0,0.029,"Stains",NA,NA,1
0,0,0.025,0.95,0,0,0,0.025,"Stains",NA,NA,1
0.225,0,0.25,0.7,0.2,0,0,0,"Stains",NA,NA,1
0.125,0,0.2,0.9,0,0,0,0,"Stains",NA,NA,1
0.44,0.17,0.02,0.46,0.33,0.14,0,0.02,"Stains",NA,NA,2
0.34,0.34,0.09,0.25,0.2,0.36,0,0.04,"Stains",NA,NA,2
0.33,0.24,0.16,0.35,0.28,0.31,0,0.09,"Stains",NA,NA,2
0.091,0,0.227,0.909,0,0,0,0,"Stains",NA,NA,1
0.28,0,0.16,0.84,0.2,0,0,0.16,"Stains",NA,NA,1
0.174,0.043,0.217,0.957,0.087,0,0,0.087,"Stains",NA,NA,1
0.08,0,0.28,0.96,0.04,0,0,0.04,"Stains",NA,NA,1
0.208,0,0.167,0.958,0.042,0,0,0,"Stains",NA,NA,1
0.25,0,0.333,0.792,0.125,0,0,0,"Stains",NA,NA,1
0.238,0,0.143,0.952,0.19,0,0.048,0.048,"Stains",NA,NA,1
0.273,0,0.227,0.955,0.182,0,0,0.045,"Stains",NA,NA,1
0.12,0.04,0.36,1,0.12,0,0,0,"Stains",NA,NA,1
0.04,0,0.08,1,0,0,0,0,"Stains",NA,NA,1
0.435,0.043,0.348,1,0.435,0,0.13,0.391,"Stains",NA,NA,2
0.455,0.364,0.773,1,0.318,0,0,0.455,"Stains",NA,NA,2
0.519,0.259,0.741,0.37,0.296,0,0.148,0.037,"Stains",NA,NA,2
0.4,0.32,0.56,1,0.32,0,0,0.12,"Stains",NA,NA,2
0.16,0,0.48,0.88,0.12,0,0,0.12,"Stains",NA,NA,1
0.217,0.435,0.826,1,0.043,0,0.087,0,"Stains",NA,NA,1
0.227,0.227,0.318,0.545,0.227,0,0,0.045,"Stains",NA,NA,1
0.192,0.115,0.423,0.5,0.077,0,0,0.154,"Stains",NA,NA,1
0.308,0.269,0.385,0.808,0.154,0,0.115,0.077,"Stains",NA,NA,1
0.182,0.091,0.227,0.682,0.182,0,0.045,0.091,"Stains",NA,NA,1
0.44,0.24,0.68,0.92,0.2,0,0.08,0.08,"Stains",NA,NA,1
0.423,0.269,0.231,0.654,0.231,0,0.115,0.192,"Stains",NA,NA,2
0,0,0.429,0.952,0,0,0,0.238,"Stains",NA,NA,1
0,0,0.273,0.955,0,0,0,0.136,"Stains",NA,NA,1
0,0,0.583,1,0,0,0,0.083,"Stains",NA,NA,1
0,0,0.364,1,0,0,0,0.045,"Stains",NA,NA,1
0,0,0.476,1,0,0,0,0,"Stains",NA,NA,1
0,0.633,0.8,0.067,0,1,1,0.667,"Stains",NA,NA,4
0,0.675,0.05,0,0,0.85,0,0,"Stains",NA,NA,3
0,0.919,0,0.081,0,0.919,0,0,"Stains",NA,NA,3
0,0.887,0.038,0.113,0,0.906,0.019,0.019,"Stains",NA,NA,3
0.167,0,0.1,0.633,0,0,0,0,"Stains",NA,NA,1
0.067,0,0.067,0.967,0,0,0,0.033,"Stains",NA,NA,1
0.2,0,0.117,1,0,0,0,0.2,"Stains",NA,NA,1
0,0,0.085,0.814,0,0,0,0.068,"Stains",NA,NA,1
0.233,0,0.1,0.7,0.133,0,0,0.233,"Stains",NA,NA,1
0.8,0,0.2,0.3,0.4,0,0,0.167,"Stains",NA,NA,2
1,0,0.333,0,0.533,0,0,0.2,"Stains",NA,NA,2
0.371,0.029,0.2,0.857,0.143,0,0,0.143,"Stains",NA,NA,1
0.4,0.029,0.386,0.686,0.114,0,0,0.214,"Stains",NA,NA,1
0.186,0.057,0.257,0.871,0.143,0,0,0.186,"Stains",NA,NA,1
0.485,0.03,0.394,0.636,0.303,0,0,0.182,"Stains",NA,NA,2
0.206,0,0.5,0.471,0.118,0,0.059,0.177,"Stains",NA,NA,1
0.279,0,0.588,0.809,0.103,0,0.059,0.162,"Stains",NA,NA,1
0.314,0.086,0.229,0.629,0.143,0,0,0.4,"Stains",NA,NA,1
