"ID","PreScore","PostScore"
"9VJFO5OWVG","33","37"
"0KNEBMIO70","33","23"
"U1YRV5P1ZN","23","23"
"EAKU07L8Q7","27","23"
"1QRLGW64EU","17","33"
"JD9W3EYFEA","30","23"
"XHWJNDWTJK","20","20"
"POJA02SPCW","40","33"
"NE9XVW8262","23","30"
"ZEBO9YDFHV","17","13"
"5EOTYW3JNQ",NA,NA
"ARZX0WIER8","30",NA
"KA98N3QP0D","27",NA
"IHVT3ZV5KT","23","30"
"3V749GELPU","10","20"
"72ZK7X5A5L","20","0"
"21959NVHNG","23","17"
"APO81JG445","20","23"
"NFVA0GRNYV",NA,NA
"6W4XUD32TW","20","47"
"189WI1Y0GP","13","20"
"CMJF2MBT0D",NA,NA
"ND6R2W6PD0",NA,"43"
"KOC4UD68HT","13","17"
"TIFMG7UDBS","3","20"
"CEXH36D619","20","27"
"TLWFJDM9QU","27",NA
"G9TH4KD131","7","13"
