"ID","PreScore","PostScore"
"57DR9AVOQI","6","9"
"DN1OOXFTJU","12",NA
"6JECRGX5IL","6",NA
"4H6FF46M2Y","18",NA
"ZCUKCWPQG8","4","12"
"YYA6G7OE00","8","12"
"22IALSWBR1","5",NA
"SPRZUN1LTK","3","17"
"0KW0QLGRZT","6",NA
"JOZSP1FZXX","1",NA
"034TTUJBI6","9","10"
"4MQ5OCKG8U","5","5"
"I7UL6DC3A9","20",NA
"PBA2XREP9G","11","20"
"VUOVC7T881",NA,NA
"W1IS5Y1ZD6",NA,NA
"A6HWF8XIRZ","6",NA
"97TZWVPII1","9","24"
"6O857TICTX",NA,NA
"19MU8F1JTK",NA,NA
"TFO0X0X40N","7",NA
"LAF94J6QBZ","7",NA
"CCAJ63PY6Y","25","6"
"1ZWNMAE8HR","11","19"
"KWW91GDKV6",NA,"10"
"QK57TSP9VK",NA,NA
"FGURC33MSY","4","20"
"N6OCBKWYSN",NA,NA
"7JRZBNHLLY",NA,NA
"ZRJXWHMNAX",NA,NA
"NIANTKW4JI","4","2"
"4SDWATPSAN","9",NA
"AFB6T4QHVC","12","25"
"8YCTVQR87C",NA,NA
"EOWICTH5NA","6",NA
"A7MZ15MNRV",NA,NA
"7TUX72FDLN",NA,NA
"3MCZYCGDG3","9",NA
"4E2JME4LEG",NA,NA
"KXM6ZAQAE5",NA,NA
"UXM608VPUX","2","14"
"9ACBNS6XNO",NA,NA
"U5ZVW6AISO","5","14"
"ZMCNED0OTV","5","12"
"P88301E3BK","3",NA
"3Q2V8HIJH6","7","3"
"VEL1W1Y9IV",NA,NA
"NHFSCQDVLW","11","25"
"Q05KXEFH3N","7","14"
"MWJQB3JVZY","5",NA
"IT7J3I98TY",NA,NA
"TTAR8TNZIZ","25","6"
"C4E7VR1FQX","4","14"
"LEC2JK8HIY",NA,"17"
"ICB778GVTZ","7",NA
"DE0VWTG1SQ",NA,NA
"P8R99ZLM01","9","12"
"1LZ1FJSIWR","7",NA
"OAZHYQ9RK2","8",NA
"KOBNSPMJOB","4","12"
"OHUUF99WGD","7",NA
"4XKTH9EUWR","7","11"
"VRTRQUE4MR","3","13"
"WF22UEXD8K","5","13"
"IA14P0GL8Z","28","28"
"U20EF9K9AA","7","18"
"HAQHZVWFCQ","6",NA
"7NDI4CMZEY",NA,"16"
"UO2FR7JK8X","8","26"
"24D6YS5YQR","2","3"
"7CLIG53S7N","6","11"
"I971PVFVH9","5","5"
"Y3SZ51PKQL","8",NA
"QTHPD5WPIJ","2",NA
"RRZXDL6HPF","8","18"
"PYG6SV00CX","3",NA
"P3OWGXAN8I","9",NA
"6LRJGVOET7","7",NA
"NHFE47UN7I","9","13"
"ERRIEY9MN3","10",NA
"MCHTZPBPHT","11",NA
"ITEE6EPL9H","11","20"
"Q53J2Q2WQJ","7",NA
"GL6M3IJFR2","13","19"
"OTH922UTEN","8",NA
"VN6HF4GC1Y",NA,NA
"53AXH4AVPM","8",NA
"MM9188H3M5","7","6"
"Z9Z2RD4RKQ","7","7"
"9YRT4UMZOO","4","5"
"B0YG7KDYD8","6",NA
"Z6S90V62PJ","7","14"
"CX6YDR390B",NA,NA
"GWAKW84J5D","5",NA
"7X8F62PXYP","7","11"
"PU8X9MB32R","14","17"
"F2Q6NKTNXK","3",NA
"EZ5SN616LA","5","15"
"081NZ6MRRA","29",NA
"TGNE9Q0XJM","10","17"
"KEPGBSX7CY","17","16"
"X9D27BBO4J","9","12"
"UYV0SSKCPN","5","7"
"0W7O3ALWR6",NA,NA
"DDS8SW6QAF","4",NA
"B92MDY7Y6I","6",NA
"BCE7K7R8MO","6","14"
"UFOV09C2LL","21","8"
"46YDZQO9AW","7","10"
"9OTH7JQL8N","9","8"
"AV2R1MPC3I","2",NA
"MAC5Y5IC6H",NA,NA
"AF4ZHKSM6D","9","19"
"FJ88E1RYQA","7",NA
"QWULZJCB0B","4","17"
"I3GEB83TCN","7","18"
"NPZUR93FMU","4","11"
"DEFON2VKF7","21","13"
"42I17D0TKL","3",NA
"XQNOMKX7XV","12","22"
"GFH3WYQ8R8","3",NA
"VS5KH4CKZP","3","13"
"B6C8408XUG","9","12"
"SIHN1JCAR5","5",NA
"4XIW5O8S1T","7","12"
"FE9FTYVS9S",NA,"8"
"XZPAZLWFF0","7","11"
"JP3TWW5VPZ","4",NA
"1MRV8CJOZL","10",NA
"UOYDUNRX01","2","4"
"BVYE8DOYQP","8","3"
"KESXJGN76P",NA,NA
"2G1ZL3OA71","11","19"
"JZTVHW7DEP",NA,NA
"PKMC12XMNL","5",NA
"S1754U6Y9V","29",NA
"8E24VMF54M","4",NA
"01RCDHWETA","20",NA
"4JCJLECAIR","5","13"
"BTTA4RGJAN","11","13"
"XX44BJNJ7A",NA,"3"
"FGG5OQCPCQ","7","16"
"VJDHFHJMCD","4",NA
"YGXXWN9HW9","7","10"
"YPX0Y6Z8JC","10",NA
"BLQGP8TGBP","6","16"
"8INOJX6XQW",NA,"4"
"2QST2268AV","29",NA
"WJPIUFYBZK","5",NA
"2IKTBXUOG2","11",NA
