"ID","PreScore","PostScore"
"DFRPE6UF1Q","42","47"
"KCTUO82RNV",NA,NA
"EV1ZG6VCV3",NA,NA
"CVHI335S11",NA,NA
"AY5EDGBNV3",NA,NA
"A0MU9PMXDW",NA,NA
"2VMGZTP5LW",NA,NA
"9AKHXZNLG6","19","46"
"GWPMZF0Q7P",NA,NA
"1QHQ5OQTNG",NA,NA
"LIVID3XHEH","17","32"
"0MHC45R5YU","38","45"
"IXPFLGMVQ6",NA,NA
"172NHU8OBC","39","47"
"U4CUIQXLON",NA,NA
"5A8P9R11CD",NA,NA
"ZGFJT5DUOH","8","20"
"KLMJKM7GZH",NA,NA
"H2FYO4GRLJ",NA,NA
"5WW4ZG7N9X","37","46"
"QWT5P8OES8",NA,NA
"KXSHWKMJPC","29","45"
"4544JFH8GL","31","38"
"AJE6KU5Q47",NA,NA
"3OP2YEAXBE","18","46"
"892K4IRT4Z","21","24"
"CP5FUQ41ND","9","28"
"EOWFGWQFWU",NA,NA
"YQ5NUZE910",NA,NA
"ISH4ASOKEG",NA,NA
"K57OQF1GTT",NA,NA
"VRFUPEXR41",NA,NA
"CUP8O8CFE3",NA,NA
"HZEH2OHXUJ","31","41"
"DP66RWQYLJ","46","47"
"D7Z2H35BZK",NA,NA
"P8W9JYNAN7",NA,NA
"YAV2PM2YSJ","16","13"
"WO5T70M7RH","11","44"
"LXOPY7JX4X","40","44"
"0XE7A2RZBF",NA,NA
"1WYV2MKTKB",NA,NA
"33RIOLH736","35","32"
"NEA1E07DDJ","11","24"
"YLGKQ93LYK","36","47"
"HMXVVNAATY",NA,"46"
"C0KW4WT4TS","4","14"
"V2E0JTYJO9","14","18"
"CYAPHIMF7F",NA,NA
"B6TRH3Q9Y7","6","18"
"XOXB3XNVU5","34","45"
"5RT4NPVJPI",NA,NA
"RJ2EAYDPX5",NA,NA
"WTAVQPYSC5",NA,NA
"NYXBLFWJ2P","15","23"
"V68C03WST7","45","47"
"TFC09GYLPC",NA,NA
"DITORND8CQ",NA,NA
"X97ITFRRPS","10","17"
"856ETQGMBS","35","40"
"US1AZURK3M","8","34"
"G8ZRMPSHEF",NA,NA
"3HVNF2QY07",NA,NA
"IPRDTO57LZ",NA,NA
"2XPGLPXI0A","9","46"
"N926PLMKCI",NA,NA
"M3EP92H33D",NA,NA
"R1LFKYC81G",NA,NA
"RKSYWWRBL1",NA,NA
"TC1RHEY86O",NA,NA
"C14NJ0USLU","13","41"
"V2X9FO8EQK",NA,NA
"J7EFV0BJWD","17","45"
"CXZOQKHBZF","15","40"
"23H2VRVORQ","9","30"
"4KXUHO9B47",NA,NA
"7WF5O3E36O",NA,NA
"ZFFBBYGOH7","23","40"
"5OFQYVCTMN","23","44"
"H5JSVOEYWC","39","46"
"HOMJ48S4RI",NA,NA
"ORHK4JUOIT","11","47"
"IVHFY6AYOS",NA,NA
"X58IN7LW8N",NA,NA
"LEQSMBU26O",NA,NA
"VFW9JBVOG8","28","31"
"GLLLKSNSPT",NA,NA
"3DUG9SS6KA",NA,NA
"MCUMHG8YUH","20","43"
"I52Z32O8FI","15","14"
"MWRAOGDIUS","16","46"
"39KS2P2LBR",NA,NA
"3RUHA8OS3D",NA,NA
"5C6MXB8NF2",NA,NA
"IEQXL3MXWI",NA,NA
"24EGZVMUCV",NA,"47"
"H06I94Y3VE",NA,NA
"5D1IEOG0N2",NA,NA
"IVRP744U9R","14","27"
"2S600XEIPV","8","13"
"34DV3WERB6","19","33"
"DD6I4ACXU7",NA,NA
"S4S8J0WXM8",NA,NA
"ARPS932OY3","31","45"
"6J749WIUFV","15","33"
"0J35VOQ09Y",NA,NA
"7REDGPPL34","9","43"
"15SMAVNUIV",NA,NA
"TL0QL7GRFW","23","41"
"4BCJG45R6Y","16","46"
"QBTPQIVN7D","39","47"
"9W5Z3K4Q6U",NA,NA
"2LWG4ZGA2H","9","42"
"4A341JGPNW",NA,NA
"3IHY306HK5",NA,NA
"RD78BBYKY7",NA,NA
"C3H01EMNAD","10","44"
"RR0GXNA07E",NA,NA
"A7BQ1J590F",NA,NA
"JOKZVC5M7O","47","44"
"JWU871U45S",NA,NA
"0I5UATCL6X","13","21"
"UO4YULU104",NA,NA
"52SUDOALBJ",NA,NA
"MP9LJMPQ81","38","45"
"3GUC2N4IEJ",NA,NA
"L68GZZ48A3",NA,NA
"PS73XR9PMD","7","32"
"0VAZAI1560",NA,NA
"1Y54ALBSIU",NA,NA
"WABOPG4WSK","12","46"
"9CLMJQY5N0","3","8"
"85R2ZIP5CC",NA,NA
"XZLGSJR0SW","24","46"
"J3ZAH13SQK","38","46"
"Z9736OBVIF","13","43"
"NEX2AIC899",NA,NA
"4P766B3UI9",NA,NA
"761EF4EE1P","47","46"
"RB9Z5SUDYH",NA,NA
"HO4K9RWTLG","46","46"
"AELMRPPU4X",NA,NA
"D0V4WSYT82",NA,NA
"9KXMKF1Y92","21","29"
"UTNZ9JDA0V",NA,NA
"EX7YT9A0S3",NA,NA
"TD4UF8I7NA",NA,NA
"HSCW4J8YLZ","41","44"
"9WHU5GCJVL",NA,NA
"OOYPWT4SAB","32","43"
"G36D78AQQ5",NA,"11"
"IX3U7CYH83",NA,"40"
"ZY60WPO1DY","8","15"
"NUX8UHKJQJ","47","47"
"BVUHRY0UWH",NA,NA
"HTLTUC1B2J","23","6"
"GI22QC7NTF",NA,NA
"TISI7G8KEB","30","45"
"DG50DA7O9H","42","47"
"FX08WRODXP",NA,NA
"WQUU8ZORVP","47","47"
"BUPTEV8ICE",NA,NA
"6LBAXJH1JC",NA,NA
"8Q1QICSLWA","43","47"
"17Y6NLN8AO","33","39"
"NVLWOPKPT2","23","47"
"BINUQCOOC9","10","43"
"MIJHOH2FQH","6","35"
"ODK8M63W6B","33","47"
"0ASNI93A8G","8","10"
"VL8HTGWB33",NA,NA
"HR060L4VNB",NA,NA
"P2RY4RB66E","12","36"
"X9B9OQB6MH",NA,NA
"T7M0UR5UH0","12","29"
"BX629FSE8Y","47","46"
"7M9HODJBJY","11","33"
"ESPYTC40PO",NA,NA
"L3G603UK2U","7","30"
"SHN3U9L9G0",NA,NA
"9ORFJWP04A","27","47"
"BSPVSYQM5O",NA,NA
"XEN1K40PJN",NA,NA
"4TLNNY6771","45","37"
"A0GO7YMDT1",NA,NA
"BE8OBR54HI",NA,NA
"X7M31NN03E",NA,NA
"7SIHWR497I","30","46"
"B2J6GXJTII",NA,NA
"B5Z7PLXV1Z","18","32"
"BGCH5NBDM7","29","46"
"J0ZFBIJUNI",NA,NA
"2ZPMXGOY56","4","22"
"PM2TAT7Q8V",NA,NA
"XIK0RCL053","9","33"
"LRCRGD6IBG",NA,NA
"HKSTB9ZF23",NA,NA
"HA216JPZW4","10","11"
"8XXDC7ZMU4","39","41"
"9DMM8LP53D","47","46"
"7UJWCGX9QU","39","46"
"FAOBQPVH19",NA,NA
"I6WP54SO6A","9","13"
"YFC7RY7HRS",NA,NA
"I5A23XIVOC","22","32"
"LIN1AIS675",NA,NA
"BPV38M203Q","11","35"
"KLLOM6J1B1",NA,NA
"JCAFQ8DW1C","10","20"
"Y9WAP2I3SU","9","8"
"E362ZNKA5M","6","31"
"0XBTXTCIR0",NA,NA
"KJNAE2QZTQ","18","43"
"Z648FMTZ70","38","47"
"NYZ8AJE1UD",NA,NA
"JL7KMPJ9XZ",NA,"46"
"ZDIEQ5GDB9",NA,NA
"UJO6XGVFDD","14","40"
"CZY803ITBA","8","27"
"LZ5VRZL863",NA,NA
"GHKHBKXB3F","19","45"
"T1USV9NZ41","42","47"
"7FHAUO4EQV","23","47"
"DJKKPVY9EU",NA,NA
"6O46VE81G5","25","34"
"44EQWRNZQP",NA,NA
"GXY7WBVSF0","20","30"
"QB9KEOAIIO","33","45"
"HMZL2A8QMK",NA,NA
"2BRMKZ5IT2","15","46"
"A74Y7VNQRO","15","22"
"Y5K57KZO2X",NA,NA
"E2EMTMN73Y",NA,NA
"2X0WLUL67P","47","47"
"5E4R53CDYX",NA,NA
"KQQCB9E3V3",NA,NA
"XEYAO44GJG",NA,NA
"3TVFQXZG2M","30","42"
"EJVA38Q558",NA,NA
