"ID","PreScore","PostScore"
"IZNJT645RN","8","14"
"S3IM8SGNAX","4","12"
"2KPKJB6P74","4","6"
"BW8LRLH5QN","19",NA
"P6AAYT1IAQ","7","6"
"R65LS1GAOI","8","15"
"LFZ2FEP6MH","9","10"
"40C43SINKL","7","9"
"5B47VL8F05","11","13"
"DDHI7NXT7B","6","8"
"PZEHM3J7MR","15","14"
"UQ9N8LCPJK","10","13"
"AM91C6P4OK","8",NA
"4S7WI5IADY","11","16"
"L159UP253X","3","7"
"Z31IJ9N5C3","9",NA
"YBCAPZUBJK","3","11"
"DKB6JXICRB","6","9"
"J8546R8W9B","7","7"
"NLEUAP8NOZ",NA,NA
"2JELMXA7XQ","9","12"
"W8FVJABB5M","13",NA
"FCO64XSRKT","9","20"
"Q5296XB126","4",NA
"GQXVXW660Y","9","17"
"FCBWJFKFWO","8","8"
"QN2DUB1QFI","6","12"
"0KKJM8CPSV","7","8"
"H6QV0KH7WG","11","13"
"YZX9PUPZVD","7","11"
"TNFDGS5KA8","8","4"
"BWBXP5M9JA","21","17"
"FOHWHNQC3U","23",NA
"X6Y8OFVWFG","2","6"
"UNWQCO5EIL","7","8"
"6OYIGWAH6G","9","17"
"TXV634NGOU","7","9"
"C4ZPV20RNU","12","8"
"XLSKSQKIRP","16","19"
"C7PXFQSJ07","8","12"
"H3VQX2XDGG",NA,NA
"MQOTT6ZVSH","8","9"
"6QRRT5MSQ3","9","10"
"UTTG6JM6WE","7","11"
"XH3JSSW8K7","4","8"
"FB97FECGOY","6",NA
"7LX3QI7PJX","6","15"
"I7F8LVWDZD","8","13"
"FEZXVMVNE2","6","11"
"BRAK3LP4J9","16","19"
"UFWDBMR5IF",NA,NA
"NGUZS8WZMX","7","12"
"Y2EV2KGN00","8",NA
"B86MBY316N","9",NA
"IOCUJE1CY8","12","8"
"YSV84202IM","5","7"
"Q1740RJCJE","8","20"
"KQZ88DMBI5","4","9"
"7VCH1XDSGP","12","9"
"ZMGCHW1IWO","7","12"
"3RQCMB08YG","4","22"
"XQOOHKCR08","2","12"
"0AF52TCXC4",NA,NA
"LBIDC5Q4AQ","9","11"
"VQJRTTAVRQ","3","7"
"KMDTKPF8G0","10","12"
"XIVKFNU21X","7","7"
"K33N93D6WC","4","6"
"D3H9C3523X","8","8"
"K75WR3UYSA","2","15"
"E7YFMXSJI1",NA,NA
"QNS34HBB5M","5","6"
"NLZMUJVIEQ","7","18"
"2V8YBN1AXL","6","6"
"OS3WDB2PHO","2","8"
"A5YYBZO7H5","2","3"
"6QYMWAKFYU","3","7"
"QLWB2X9T7B","11",NA
"A8D0HY3MQM","10","10"
"MU38E1OWPF","5","8"
"TOX26RZ36O","5","6"
"BJCI4A5Q1Q","5","18"
"0BIT5GGE4H","3","8"
"S2VGYKXQOW","13","22"
"R7B4V4W3NS","5","7"
"0GY091DYPJ","4","13"
"WDXBKIA77S","8","7"
"2RQB0AA8PZ","13","18"
"RJ52BD87HU","6","20"
"12G1BZKXVQ","6","4"
"BSDNY3BWDF","10","14"
"X0K6OLJVI2","5","12"
"845Z39ZKKS","4","10"
"C6I3WU693C","5","10"
"32R8HS5SM4","10","11"
"MPA8DYLAD2",NA,NA
"4UBN6HGDOT","6","9"
"783W5P6SYS","13","20"
"KBX8U8A03N","8","14"
