"ID","PreScore","PostScore"
"9QVNOLDL95",NA,NA
"9PHA62S08K","15","20"
"2JVKCI2FLF","8","7"
"2GRGNUIBE4","7",NA
"TVCE7NBNOH","14","18"
"525OEVT7XH","10","12"
"JT2A2GZBXH","4","4"
"T1MAVUQV35","10","12"
"S19POU1207","5","6"
"693YYG6PYX","8","10"
"EQMVKS2IS8","12","19"
"TRUDV38C2U","7","10"
"4K0J6ELYUF","9",NA
"XFBQ237M3I","9","12"
"4IZGSNO9GP","28","29"
"N9R5AOW8TV","7","6"
"WKSJSIPZNC","8","10"
"BDRUZRKP2A","7","10"
"FBBLSZIQD3","9","9"
"K8XLDG3QPE","12","18"
"R3O65PQ82I","6",NA
"8HNG54FY1S",NA,NA
"LV52KJT6UW","13","15"
"PLIMLEOQV3","22","22"
"4M3JN12YX3","4","4"
"RIO6TQ0P5O","3","5"
"HB6YCQDVDX","13","11"
"VY6J5R0DP1","17","17"
"K9GCDJFU4E","9","11"
