"ID","PreScore","PostScore"
"CJ225PCE9C",NA,NA
"JFSWTGVOFX","8","8"
"HDUKRCGDEW","6","6"
"9EKLX9Z29Z","6","3"
"V82P6KFLXJ","0","12"
"OYOMHL8MC1","6","20"
"0WX1U7KQH5","4","6"
"X78E0L5G7V","17","6"
"V2CGZR8Q7C","9","29"
"6TR8RLW5KE",NA,NA
"5NWAVBMY4I","8","14"
"V934GX8O9H","6","22"
"JE2UOAO9T2",NA,NA
"QF2J985OGN","4","26"
"8EJ5IBFJY4","8","7"
"WZNC6O367U",NA,NA
"ZMPRDNQ6J7","17","26"
"EILY6SLMB5","9",NA
"3MT23YH4IV","6","22"
"9RMDXW3TRL","10","11"
"H7LJPE4WOY","13",NA
"M6CX0BVKD4","9",NA
"V6FDU80ZLV","2","7"
"0FYZ2FRZQ8","1","29"
"78ZP41EC0F","18","20"
"EHEVLDLIBP","7","17"
"0L7TOBTR16","6",NA
"FQW5O2A35K","14","16"
"7IVWN418GW","17","24"
"LV72A1JJ5S",NA,NA
"WY1X80A0FQ","0","27"
"6JR0POPGCU",NA,NA
"ZQSOHBP1EJ","4","13"
"COYPXKTJOU","7","18"
"EPI97AI10N","0","24"
"2A05S2D3VJ","10","30"
"VTYQL70578","6","12"
"PAE14UHQIV","7","15"
"O2M5ZOK4MS","13","13"
"DKNPSUDIAI","9","21"
"P5URK8XTQC","8","12"
"HI2FPL9FUJ","5","6"
"VHT0LY2NHG","8","8"
"HQX1D660Q9","6","7"
"T20YB4598N","4",NA
"P2UHAV3Z90","13","21"
"CVAINVWLJ3","3","10"
"R8E9C2N2AQ","7","19"
"G47Q1T0ZMK","5","6"
"QTIBW7X25U",NA,NA
"I1PBIQUSGA","5","23"
"G34YD2YHJD","13",NA
"I2GUP2LSL5",NA,NA
"LLW8TO6WGP","3",NA
"86WZF5LVRH","7","27"
"OD3X32ZE88","18","28"
"Z4LBJ3AWVS","6","21"
"QZYR0N9OFQ","4","5"
"SBB0KKXDCC",NA,NA
"OWD9GIW719","4","26"
"0M7WU8FP7C","7","10"
"OEX0BUDSTF","3",NA
"R8IY10WKJH",NA,NA
"KBSR7UNPUA","8","16"
"NTFDQLEFR8","8",NA
"YAHZ6E551F","7","3"
"QDUSWF0D6X","16","20"
"9QHQ59I3FC","13","12"
"JF4WEXY1JF","7","15"
"1G0VII4YVI","23","4"
"B140W9C7TO","2","5"
"ABAC5FMC5A","3","15"
"5LKTXUOKI7","17","27"
"2JMR709RB4","5","23"
"RNA6UC6B8T","8","21"
"XU2WNXXMN1","7","0"
"48PQELN7U8","8","15"
"X7FX98VR27","7","14"
"VILQGLBW09","16","29"
"BRTKG2FNFP","10","11"
"UAE3IHNTIW","7","13"
"S0Y49S15F3","5","16"
"ZUCVSWOO23","13",NA
"LKGKC324FW","7","25"
"6MHDGJ5SB7","0","3"
"S18C06I75N",NA,NA
"P30OXGXV3T","3","17"
"83509PGTVW","6","7"
"D5D20B45KT","15","28"
"O8TYB0ERLF","20","29"
"YTFV7XSPXK","9","10"
"3YSVLK1B0H","9","30"
"3CMW8R5N12","13","21"
"A7NXZHJRXA","3","11"
"6YMQWV5D4D","4","6"
"D83BND3ASJ","6","16"
"ZBPHUBWRO7","8","16"
"1TYAUZO07H","15","20"
"YDRT8WDL41","2","6"
"M2HZ783HU5","9","23"
"UBZOK45TI6","6",NA
"ZGCBA05L67","7","19"
"Y3TO4TJMCI","15",NA
"HXZ2I637DZ","26",NA
"7UDS3OHIYM",NA,NA
"A546GH16TD","12","14"
"66APVBO5RX","6","15"
"M24EA0A46H","12",NA
"87UDRX5SQS","10","8"
"ZG9MT22CGQ","30","28"
"0OBWGF03NP","9","8"
"F1OWSZU87Z","4","28"
"F6S8C1H9LS",NA,NA
"K6QRY9ZCA8","3","10"
"N8O5VTEO9W","14","12"
"6SN1AXS59E","7","23"
"RRJA4TPIV7","4","24"
"66AJMDSRAH","7","19"
"UZJAVXGM5O","4","0"
"1SE57CNHY4","11","11"
"TEAA1GL46H","22",NA
"NHLDQL1M6S","6","15"
"0UH17BYMEO","16","22"
"SKPI15MMRR","5","19"
"UBX30UZ4TH","6","14"
"RYCDCMB3PH",NA,NA
"9R8KXTPR1G","11","14"
"1ESTHKVA60","14","18"
"L876OMSLYM","5","24"
"DO15GBN0RV","6",NA
"CVQ9YYP5AT","1","8"
"MU3KD0H908","6","5"
"2I62WSLQXG","5",NA
"U3FSZRONDK","6","12"
"WI3B0CUBP6","7","19"
