"ID","PreScore","PostScore"
"33GWMRWXYL","5","7"
"7TYO2SERYP","11","12"
"923WEEBPHA","10","20"
"FG39J10JA5","10","15"
"NLPJFUXQ1W","9","7"
"8M11YB2GYG","17","20"
"VFX82U8P0K","12","19"
"34ITULWLWZ","5","11"
"ZS3NIBW2XZ","8","13"
"UVG8TR1U50","7","13"
"JIWJJ0UJ0A","10","18"
"DP7UN7MVKS","9","16"
"I74Z1SOJLW","7","11"
"5GPY3RG3CP","6","6"
"ZVVHJR47TO",NA,NA
"030QPM08ZC","7","13"
"XBGXPXYLPT","9","19"
"DOKTSQIRZW","7","13"
"PQIFJQS8LL","6","16"
"P0KE17RNCY","12","15"
"W2JGP1KVPI","9","18"
"PBZB5TE8WD","7","13"
"OSC74KBMOC","8","15"
"P5FJA2B6AB","10","12"
"DXUBP343GS","7","12"
"UHELFC48E8",NA,"6"
"M5WXWSYVPI",NA,"10"
"3XU2ZTNXK6",NA,NA
"D5RYP0AQDD","9","11"
"8T8EXPK2NU","11","9"
"CX240GFA4E","7","15"
"IXIEH9KRHS","5","16"
"B1G60IXO8K","10","13"
"OOV6THGGD0",NA,"9"
"ZMO999L8D7","15","19"
"H9SLL3X9SY","9","12"
"W30D9IZ20B","7","5"
"35M5Y3X4C4",NA,NA
"XS2SEC8Z0R","10","7"
"0WVQVHWIWP","9","5"
"21IHRWZIJ1","17","21"
"ZMPHF42SIO","10","12"
