"ID","PreScore","PostScore"
"YX6KU6EZ4M","9",NA
"5VOSVH6901","6","5"
"HU16RBVABI",NA,NA
"NPXD7AHZJ6","8",NA
"25R7RP0F38",NA,NA
"ZBDY8NQI29","9",NA
"T40718KHJS","5","4"
"9T1HQE9MHE","40",NA
"BPAIQW78DU","11","31"
"O2H3B9NVTZ","5",NA
"SUS2TXCP5V","15","23"
"3YRILET7GL","5",NA
"Z5TAPXCJEG","40","46"
"1B9IT9L593","8","46"
"VXR3TB8G4B","7","7"
"N16THSH9XY","4","8"
"8W4L2PCB6K","7",NA
"CZ6VDHSDMW","8","12"
"YNIB1DV1RG","6","7"
"LFZV1O04OA","13","11"
"B5LR5SISIH","5",NA
"T4VIT4VVFN",NA,"6"
"7FR8U4VNXU","12",NA
"DG3X59OZ98","9","21"
"CBHS8DYXSG","9",NA
"HY1B0H9DXG","14","25"
"MMRQ8EEKQL","43",NA
"CZGKT7ZASZ","7","14"
"OG19GI577K","12","11"
"ZPBOJWKRRK","45",NA
"XO1GRCN2XV","32",NA
"PVLD1HWCNF","6","7"
"O2880BBGZF",NA,NA
"QPP1IQOBDL","12","20"
"DS3YAZEHXF","36","46"
"U29JMLWTIR",NA,NA
