"ID","PreScore","PostScore"
"7AN37O9IS8","8","8"
"W967YIAN0T","12","10"
"4I3NGXZA0O","8","12"
"K0HAUYBVU6",NA,"20"
"ZRZA1OBM7Y","6","10"
"EELSYQEJOD","6","10"
"YGHE4ERSLE",NA,NA
"ROJQIU5NUJ","5","11"
"5CKF1FNTR5","5","17"
"6TOBVWP8RR","6","10"
"3Q62V4ZLQV","11","19"
"QZVQFS20JO","8","8"
"7VGG3HSCLW","8","16"
"S21FKX9GQK","8","19"
"PSQPKO2L9Q",NA,NA
"JV0NRXVDF2","2","5"
"ZAA9NJ5LG6",NA,NA
"CFS6Z2GTHA","8","13"
"K2WEHP6LIT","6","5"
"M56HWW6DCX","3","7"
"AODWJFCD92","14","22"
"ISBXZITEDR","6","17"
"GTMDZO2DCQ","1","9"
