"ID","PreScore","PostScore"
"TWZ0TS8S1K","14","5"
"V6BL7UDC7U","8",NA
"MZZZYKW5PZ","10","8"
"Q1DJY19FLB","6","6"
"12NSJWE949","15","18"
"CXGVFW7RJQ","16",NA
"8I8I4IIX77",NA,NA
"0IRC342NY1",NA,NA
"S3C3EH1HXR","8",NA
"VIMJ1MCRCQ","19","18"
"E7QBUV031P","18","18"
"GIGXR92SAM",NA,NA
"SW5FWOAXV5","5",NA
"AHQH01RPUK","11",NA
"8ZV2YQEDKJ","7","11"
"U1VATX8NLO","15",NA
"KO38LA4QEY","11",NA
"12UM6UTSNQ","17","17"
"MOBW4VXOV6","21","23"
"LSH0JZMY4W","15","21"
"ZZBN7TD1JZ","1",NA
"PW7BLCS53B",NA,NA
"1OY6FZPY3O","0",NA
"CPIMO9U4IU","10","14"
"JP4FR2RR9N","17","22"
"81IHQ6LJDI",NA,NA
"VDLO80HXSE","5",NA
"NSP1WQ3JLD","16",NA
"HHRC8PIJOV","12","21"
"W4CWH3JO6Y","10","4"
"M57JG8J2CB","17",NA
"7WJCGW1O4S","8","14"
"94FIGZNZ7Q","20","24"
"50NLLXVEV9",NA,NA
"JT1ZILHHY0",NA,NA
"2M34KPJ1SU","9",NA
"CGOOBGIZNU","17","23"
"BS63HQUB2R","20","20"
"VBQQ33EPMR","10",NA
"U0MRWK045I","18","11"
"PHPW6KKSN9","16","20"
"13XDK0BT4I","16","22"
"5MGQCXLY2E","17","17"
"D3V5M711W3","12",NA
"6QDW6O6Z9M","11",NA
"Q29KRL8EQV","14","19"
"607BFUZYNQ","10","13"
"CS2X2WI7K9",NA,NA
"0S6AL12HSK",NA,NA
"297ROEM7KW","13","9"
"9JI07I9PBN","7",NA
"SSRT6G8UDE","17","22"
"OTTXEK9WVX",NA,NA
"O1G7T4BP4F","17","21"
"IPZNMK8HGO","9",NA
"Z9JL6OHYSC","20","21"
"MM6LYILOXQ","14","17"
"9EYJF2DP6T","17","14"
"BAIS8I66LX","6","5"
"EUXZZAD9MI",NA,NA
"MVQV6XH4XM","16","21"
"LJ2TRLHV0X","7",NA
"K3NLU9HBS8",NA,NA
"QKAG3UYATC","15",NA
"V7EOZ2PYUK","15","7"
"WI3IUXNG6J","13","15"
"CKFSLNDWN0","17",NA
"40RJK23KXV","16","22"
"2NCSX7BMD1","17","21"
"AZRP7VI7TD","5","4"
"K4530XGH4M","13","16"
"8QZ1Q93SC2","10","12"
"JDKY1VT3KN","15","20"
"JO3ZAC4VK9","14","20"
"LV3YT51Q5Y","15","14"
"QOBA5GXP43","20","18"
"UAY16TSSVC","14",NA
"EG2XGVADDL","23","8"
"4HDOCMG1R8","19",NA
"4APO1AC19C","18","23"
"RIE8GSX676","10",NA
"WMOUF626WA","13",NA
"F4HL0NNKU2","10","9"
"WSQGHFR537","16",NA
"69YA4PE6EX","8","12"
"BFQJ975BIQ","17",NA
"QCZFK6NZ5T","16",NA
"TM68HBAP4I","7","7"
"O6I21QATLT","19","21"
"XM4A84PIWF","13","0"
"IPPRCOAYGN",NA,NA
"XKPBN4WDHN","8","19"
"PVAJOSKQAN","23","25"
"Q0JOXL5TC8","13","9"
"TYJWGXGS8S",NA,NA
"63SJ4MBFTD","6",NA
"AHYLLPX605",NA,NA
"M4JIYD2J0U","14","21"
"213ADND2E6",NA,NA
"13CH9LFLX0","10","20"
"NUM7GV1JJZ","11","13"
"Q2FZS1A9ER","11",NA
"VB3RU3YKPP","15",NA
"A3MKTH0SB8","5","6"
"O26A5R29W6","0",NA
"P64OU9GYPK","13","10"
"N9XE92WKEK","15","0"
"0H2FQK89O6","7","5"
"ODDYP640K9","4","17"
"F6C69B6W00","3","19"
"XDO40L5RGS","6","13"
"P3F11B8WEY",NA,NA
"2EOS8YG5I2","22","20"
"M6ZX8QNF8A","12",NA
"656KD04V9T","14","15"
"9KZ8AJPIQK","17","23"
"9DFNSOXYJO","22",NA
"KBJ513DBF9","13","8"
"F6DIJYZKKT","2",NA
"6ACDXOJEIV","9",NA
"WPT2K2DBCB","15","21"
"MI4GOH6D19",NA,NA
"HNFLNITTPU",NA,NA
"67H848VCBQ","10","6"
"D0GLFAY2MR","9",NA
"5LDY7BUFTM","13","11"
"VHM20Q0DTW","9",NA
"LPQCJOCTHX",NA,NA
"XSV9LBA8P4","4",NA
"7KCTHW3U9C",NA,NA
"ZJWRXBN1X6","3",NA
"F08QZVYVO8",NA,NA
"2PRQBK5PJH","18","3"
"I0S21IGBUY","15","19"
"828WIRKWB7","23","24"
"W60D5PBZLO","7",NA
"9SG6KBYYJU","7",NA
"JQDWMS70YE","18","20"
"40R8MP83SE",NA,NA
"GFFRGDYGSQ",NA,NA
"0DIMEGYOTJ","16","18"
"9DTEA8Z9MP","16",NA
"LG0FI233TI",NA,NA
"Y76SDG14W5","9","20"
"K30XZ9DKGS",NA,NA
"P2PPWKP3L2","10",NA
"Y0XQT10W2H","11",NA
"Z1YNERDPR8",NA,NA
"VJ7BN42WBK","12",NA
"XEGZA9UQUF",NA,NA
"6VO2JV6ZWZ","21",NA
"6ZU376LINA","9","8"
"YS8XTFJ9NK","10","6"
"TZF1FDTW56","11","15"
"MXCU0GK98Q","17","21"
"9H1Q5836J9","16","17"
"AHPEG9N0P5","5","0"
"E356J147A0","11",NA
"1QWR9XKWZU","17","23"
"T8PJZ70Q1V","16","23"
"ILRKPAVQD6","9","1"
"DW4YFLIX0A",NA,NA
"GNWCOAMEPM","18","24"
"JKFLOK0831","17","21"
"2C1PS789EH","8","6"
"GTC7OWTFGT",NA,NA
"2UTCLD8ZS1","18","20"
"YLPAFE98RN",NA,NA
"QWP5I5FQ6J","13",NA
"AP0AHM0IUN","7","4"
"ZV2HSSHC95","18","22"
"M27V6OFPP9",NA,NA
"LH4R9BST75","16","21"
"0DDAGJU0MT",NA,NA
"GEO7P6OOHZ","9","0"
"BT6RLRT38O","19","20"
"F4461GYHJA","5","15"
"60NNHL2V2G",NA,NA
"T4R1KLRQUI","19",NA
"9C02CTTDI3",NA,NA
"M70NBWAJSC","12",NA
"US9PHDXVMH","20",NA
"VDIE3PAW9A","5","0"
"U5LP8IVRPM","19","13"
"I6ORJE25IO",NA,NA
"QQ62UJSPRC","5",NA
"YYKBWZ50S3","10",NA
"J0S8X25H7B","6","6"
"OMTVXR1FWN","21",NA
"1P2AGHN5HF","18","14"
"KHTDVHVL7V","14","19"
"E1MO3UNTH8","18","22"
"FMRH0CBW7U","22","14"
"3483VCDPWI","11",NA
"GDKCCWMQRZ","16","22"
"5C1W30J6A7","5",NA
"ZYX7Q8HUW8","6","11"
"7N39CODRE3","16","20"
"TZAI6Z3N0J","16",NA
"34OOQK6EV1","17","22"
"3794PFAT7L","10",NA
