"ID","PreScore","PostScore"
"R43UWU7PHB","10","13"
"4TU37N7L99","6","9"
"1FKTJP6RKA","13","15"
"7PK4BIYB4J","17","22"
"7QIVLTA8KD","10","17"
"XYJSZ8Q729","8","13"
"FZ78X3IG2B","8","10"
"QQ88BHSQJ1","3","16"
"R5PN6XYR9J",NA,NA
"WCZBBHRWYQ","4","8"
"VBKWZ90IX8","7","6"
"KVFPB0JTRG","5","9"
"23V2BGG3P0","4","9"
"KYHGTPZS0C","7","19"
"ASL5IJKHK9",NA,"18"
"AS59590J3D","6","15"
"7NYA2UDV5T","7","9"
"B933ELC2DT","8","9"
"7L87GC8QD7","8","10"
"S8FM095PLE","0","7"
"ULOG296ZU4","7","10"
"G90S107ZS5","9","9"
"HHU4KNUJ1D","6","9"
"KLBG9CD2VE","7","8"
"L8D35NP1QB","8","14"
"UNYN9ZA9RC","5","3"
"M77R8AMNIP","11","11"
"ATRBXQUIRS","7","15"
"G3GBQG9FZI","7","16"
"KP3KLT8Y71","7","12"
"K1DKJL055T","6",NA
"K5ZXCMBQBL","7","9"
"4KLF40EJES","16","15"
"A554STMI1Y","4","16"
"52KJ4WS581","4","16"
"IP9QG3W8CZ","23",NA
"B34YQB2DHP","5","10"
"NS1OILSVL2","12","24"
"WJVT0WA0OX","19","29"
"YGNC8R53T7","7",NA
"X22EYALOP1","7","18"
"1FY431WKHF","6","6"
"CVSKPANK8K","8","8"
"7Z8AAEQ8ND","6","9"
"5BOR5PO268","8","13"
"0VD3DD1536","8","5"
"NNAXO8X84C","20","22"
"BFR2K6DK6X","29","28"
"O3099O3R6T","4","6"
