"ID","PreScore","PostScore"
"1WYB3B44R0","8",NA
"XI3AC4KKDA","6",NA
"HKMLN18UPY","3",NA
"B84YYFLVB0","23","27"
"H4BGZ0957T","7",NA
"2IVWW6ORF0","14",NA
"KKE3HLI188","12","14"
"WVR6R924QQ","20","22"
"QPDPD0DCFN","17","26"
"3X2S0I2B0F","16",NA
"02G6SIE703","16","20"
"NWHBBD4S2X","6","9"
"DI98A7EQM9","13",NA
"Z9Y1GFZWJ5","13",NA
"95XWFA4S3A","3","7"
"BOES77OF6C","10","17"
"Z2H6XKJXNJ","8","4"
"PVI39A4FB1","14",NA
"S96I9857PP","12",NA
"2QVW8SRG3E","8","10"
"XQ1XT6SM4W","15","22"
"OQHWKBR3H1","10","13"
"08N3K4R618","8","15"
"6LNFKHHIRI","19",NA
"DF3TUM6JC7","16",NA
"KZAWZ4V7YG","19","22"
"H3N4LS30B4","14",NA
"LIRXKZV0P1","10",NA
"Z0TB5PPH3N","15","19"
"QY58CVFTCN","12",NA
"M889TADOTC","10","24"
"Q4IVZGVJBZ","22","23"
"WNU27SUZ3N","10",NA
"UQUDQSX0F7","11","19"
"6JYG9A2GVO","8",NA
"J19F00B95X","23",NA
"PN79CMCYNI","15","21"
"FDYE29HD2T","29",NA
"8DO0KPG88W","20",NA
"63F6KYNFPM",NA,"27"
"C8I2A13VQ0","19",NA
"QJFSRV5VAL",NA,NA
"HSELBYO06Z","13","15"
"5SBVRUPVCK","23","29"
"DXAK6URAF0","8","25"
"47K160K65T","11","15"
"P5S4DF5GAI","4","19"
"WO5JBYFM4G","4","10"
"OXF1YV7LEE","21",NA
"167GB3DR1E","14","23"
"EM7B7E69FQ","11",NA
"ZQ4I9P8XUE","14","30"
"UOPVV1N9QP",NA,NA
"WP25JQ5SGR","13","13"
"IQR9OKHM7W",NA,NA
"VHH5CM5X56","9","18"
"VBMR9UB1HF",NA,"15"
"G44BG6LOSJ","19","25"
"FSZSJ7KZ6B","12","19"
"9WNA9YGQR8","17","19"
"88EXXRKA68",NA,"19"
"B1SR2PYLLU","23",NA
"A8SHZ2WOBS","23","29"
"EFE2LRA3P3","16","23"
"J38ODGQXMD","13","23"
"1WKIHZHI8Y","12","15"
"KUWJD4JJWS","12","27"
"AGNYYMNQYI","19",NA
"UVWWEFOLXY","9",NA
"2DR4UVSCCE",NA,NA
"MOZUR7CEZU","12","23"
"FG58WKIPEE","12",NA
"NSXZYR888A",NA,NA
"U9AIK0TIHY","18","20"
"KBDLF01FL7","16","17"
"4ULGMNFLEN","24",NA
"XCUYQBFDB0","19",NA
"OPTIS2PY1T","6","17"
"WSWPX63ZOI","28",NA
"Q6G8B5Z6KP","8","15"
"ICDQW4JZWO","17","20"
"ST65SD4L0R","8","13"
"M88FUQ8OX2","10",NA
"VFYOP4S865","12","12"
"JV5E9KX4QW",NA,NA
"KFVXDO0JTN","10","21"
"8W2YHDKETE","13","22"
"HSXGB7SWKJ","8","17"
"WN9MMOXOX8","5","17"
"O9D0ICUXKW",NA,NA
"EGQGI4G66H","18","22"
"LWB47NEWK5","9","3"
"7OQ1L8TZXY","7","12"
"3OEG5SOHT5","25",NA
