"ID","PreScore","PostScore"
"Z3697T0NJV","39",NA
"Q5S3Q091DR","19","42"
"KMKP3W8AYJ","6","7"
"KZ28IO1U8O","11","5"
"B40DLC60OS","13","30"
"4ZQGWIO2TV","13","18"
"T2XAUOWBDV",NA,"13"
"QQLYIA8GVZ",NA,NA
"50EWJ6LMJ6","12","42"
"56C2D3UU0J","10",NA
"U6N0KUKOOS","10","11"
"RJBRJFH990","14","46"
"BA4GW25490","8","15"
"OCMCITPJ84",NA,"39"
"F5AKEP1AP9","4","5"
"1YF557XBYB","9",NA
"5G7YES0Z2V","9","8"
"J9B39P7K3S",NA,"16"
"Z5Z2CHGEEZ",NA,NA
"B6T8QDWBN7","16","18"
"QN2J4ONG1G","10","24"
"8ULA3M9S9P",NA,"47"
"ZOOWC6YSGG","11",NA
"54T05L0MG1",NA,"9"
"WIMRZCV1YE","18","43"
"CHZHR3STSM","18","32"
"30H5OLJHIH","12","24"
"AIDHBW0Q7P",NA,NA
"BQXJWYY5NT","5","9"
"8HM522TWMY",NA,"25"
"R4S8F6DDYC","12","24"
"0E61EGJ8A8",NA,NA
