"ID","PreScore","PostScore"
"QE1VMOPGH6",NA,NA
"7IBEM3NUNM","13","19"
"PXV234HN3E","8","17"
"MG067HKVB1","8","24"
"E3X9YT98H1","11","30"
"3CG896NF3I",NA,NA
"C505X9TEXS",NA,NA
"GLRRBV6XVU",NA,NA
"BV86ZC6PT8","17","28"
"JGIFZI6K4V","12","22"
"2CTY1BYS0I","13","21"
"MPYQDQ8MXK","18","20"
"QRRQUMA9WR","15","29"
"U735YBBI5J","8","13"
"QPKW3KBRBZ","12","17"
"K3AY1JRZR5","21","25"
"9QSDU3TWNE","17","30"
"Y0LRORZY0A","11","22"
"8FY85LKYPO","17","30"
"5VRKWC57UZ","11","28"
"QWNSLTDMKT","14","28"
"8NNW8RBWWZ",NA,NA
"C32F8HU6UF","26","28"
"06L6GB5OPN","15","28"
"H6GGCJA1CO","14","30"
"20R7NA4YJ5","13","20"
"YRAE3SKSYV","11","25"
"LH5XPVUXH5","15","17"
"G1PCJCPF2C","11","19"
"WEX69LQA4F","13","30"
"CYGEAKTS5A","12","24"
"A0VLFQFGX4","12","22"
