"ID","PreScore","PostScore"
"FL73J9DOV2","5","4"
"YZSNRI48IA","8","9"
"JA4G904973",NA,"10"
"ML7SK1JYU8","3","11"
"R4NRGMQ3AI","9","5"
"3K75QAPB8H","10","2"
"4P2A7KQ2Y0",NA,NA
"XUVW75XHFN","10","6"
"H2JL4DQUMG","0","12"
"QBI7EJK30B","10","9"
"7TXM9NT3V9","6","7"
"SY8CSI0E8O","4","10"
"GGPAKS9KTB","15",NA
"VVYAETYE9U","9",NA
"BWVJZIX0YR","0",NA
"6M153UJ01U",NA,NA
"QFPLLNTP3P",NA,NA
"HI0GPOX7VU","8",NA
"4XC5EN3CX8",NA,NA
"8X4M1BU8KW","14",NA
"WBOKEDZ4ZF","16","21"
"BKLOFN849Y","13","11"
"NT029ZVKCH","4","6"
"S6LYWB2IC5","0",NA
"FZKV8Y1OM8","0","2"
"HL3H5SY0K7","6",NA
"TUMA6JSHBZ",NA,NA
"O6SE0ENLOG","0","15"
"8I5HGOQBC0","9","12"
"BYYKFMJ4PX","13","11"
"W9FPBSMC8N","13",NA
"NP5K1120TG","3","7"
"VGMILFNPEE",NA,NA
"4BK693YYVZ",NA,NA
"HM6I4OUWIF","14","11"
"PT2MEYFEYH","16",NA
"8DMVAO725L",NA,"9"
"BASJFLMQUB","14",NA
"F183IG49HG",NA,NA
"AR43LK002C",NA,NA
"OVLGNJYTBU","12",NA
"TXJKR5LZ7L","7","3"
"M4NSLLDOYT","23","22"
"2FQVRHTV0G","15","19"
"79066Y4ZHR","7",NA
"V4RIEXKTO4","8","5"
"F9K3X8RYZ8","7","8"
"OOY7JHTN4I","17","23"
"R53CGLHUA6","2","9"
"GZFDBJ0RWI","6","4"
"CLV4BTYBXL","9","7"
"IS0HGZNHPI","13",NA
"P0BJXS88OE","14","21"
"AH33V9H5B7","14","20"
"LFD87RITZM","14","15"
"9CW9CS5GRK","15","14"
"J2RFNCZXLF","9","12"
"EXP3MX6GU8","10","6"
"KSELRM1E9P","8",NA
"G2FE6CUQHG","17","23"
"MOK9OIOE9Q","10","3"
"6POZBOFSMY","22","23"
"XGVM0FFCAM","11","19"
"C0O3GK1G8G",NA,"20"
"71MS62GLKG","0",NA
"G9977P2FS8","11","7"
"A4MXIFIH1X",NA,"12"
"DI88W1SZA4",NA,NA
"W173RJ5SFU","17",NA
"ZV4A5DSFWL","13","15"
"J4MNXW7UMQ","11","9"
"XE9FBKDNHO",NA,NA
"AALC15407E",NA,NA
"STDNN5A10L","0",NA
"YWILSYJ172","10","10"
"869BJY4FQG","4","9"
"UZZAHLP7VE","8","5"
"24IHM69S62","17","3"
"WF68ZAP7HS",NA,NA
"D4PU30JBFH","14","18"
"KHX7KB5TMD","13","16"
"NA7O4P0659","14",NA
"RR2F42C3OH","8","12"
"WCZB5ULCTZ","8",NA
"SR38DWN169","0",NA
"KU6UGVK40Y","17","16"
"9UXUGOZ38W","2","11"
"TUKJR6RA0O","5","20"
"ARAK9EHF3R","15","9"
"URZVEHEGXL","8","14"
"0N3L50PECV","9","5"
"B3IKB39SSR","9","5"
"PCNM1RHAMS",NA,NA
"CE3XEK7529",NA,NA
"IYCM49UWRN","13","17"
"OZG1FN49PP","3","6"
"RUVSZYLT36","12","7"
"22SMGNLA9D","13","21"
"96KRM8U978","7","10"
"01IRPS4O8I","19","13"
"2IRPRT82T6","12","9"
"7BCUOP5Y0A","17","16"
"NXI2PEGVSX","5","3"
"FA6WGAWTN6","18","6"
"N0NRWYR9OH","6",NA
"6SJQZ48H2N","3","4"
"HWUPIIPVW6",NA,"5"
"KE0FWY5YFL","7","12"
"N7FDK4WBOR","19","20"
"Y1LWYE0LVA","10",NA
"OE7W9SY0YQ",NA,NA
"IZUU0NBX5L","6","10"
"DW3EWYWH0E","16","21"
"BOCZYCFWZ7",NA,NA
"HBG5HEGL6I",NA,NA
"WEJBK3XYHD","3","5"
"9HKS1NAST7","9",NA
"2RVQD90NQ1","6","7"
"4TTERPAA3M","6","5"
"2DH8SAIMTK",NA,NA
"0NUH12H83Q","12","8"
"9A7IRPY5ID","6","4"
"XYN5F42407","4",NA
"UZ5C8QVUVB","0","6"
"8JC9B9AYIG","13",NA
"LYYH145XYH","13","19"
"SN4CFRMOQV","9","4"
"QMLPYHC4GM","12","7"
"65VAQ7J1J7","12","5"
"AJ8PENBAV0","6","13"
"M3SQ1TYDUH","0","9"
"MIPP7EYFBY","6","6"
"HQDLZFCNC2",NA,NA
"QI4ZF9LHWW","16","0"
"WH4BXM32JD","0",NA
"6O9FDKDXGZ","7","18"
"Y0UNSQQ0NS","0","18"
"L28JYSNIYF","12","13"
"UUACWDA7XI",NA,NA
"8TKZ0MAZPV",NA,NA
"QVH2WTWFYU","2",NA
"DCQ1Z23UWA","16","15"
"3N5F5G0J10","14","11"
"S3S8BYN429","5","7"
"8BJWNXTWAT","7","3"
"Z1L72PFFK4","8","13"
"J3ONETD8I0","14","14"
"YE1VUIRNMG","13","19"
"76E4BTH793","4","12"
"1N75X81ZKT","7","8"
"5FUYPD5HK2",NA,NA
"2O5F87II19","12","1"
"G064X98VJU","18","24"
"XWUTD587H7","6","3"
"JD642QZ9QT","11","16"
"CXR6MLHCQJ",NA,NA
"2ZWLUS3JKY","16","7"
"FLDP2ZTXDO","12","13"
"2RBIXS02CL","14","17"
"PQBCGCV5ZY","12","8"
"9WH3SBIE8M",NA,NA
"N5T7L8BO58",NA,NA
"HSAV1KRUSS","10",NA
"MGCR4C2SGV","8","11"
"5L2RUVJTWZ","23",NA
"TM2TNK6UHW","17","23"
"MSRDIJEPVW","13","18"
"F1C0KS4WNL","15","14"
"ZRP1PFJRU7","8",NA
"T4SWM51EBF","10","4"
"KDNP0U4JDB","5","4"
"O0U8RF8HIZ","13","0"
"M2IGY98DV2","10","18"
"O62UJR9654","7","7"
"SKW1GQS4FB",NA,NA
"FTPILD8D13","8","5"
"LIRP9ZWFXN",NA,"11"
"P2EOTK04NT","5","14"
"WMUJKSCAVE","10","7"
"1YK9J51PAY","16",NA
"AZAHS2ZH28",NA,NA
"I3WM3741MD","9","16"
"6GDUUXUZWQ","11","6"
"LJKQW26FNP","14",NA
"AYKH6MMIWY","1",NA
"P3O8MG94AX","14","0"
"ZX9NUX5OEC","15","13"
"M2Q038R0AU",NA,NA
"W6B61LDK6Z","7","7"
"QUHD1OWBB9","6","7"
"BGXCOTWLKM","11","19"
"GCTSISIPAO","15","0"
"TICMCIYZRD","7","8"
"9SYGE3RXDY","18","0"
"ELW3DFC6JM","3","11"
"Q65RIJ01YK","2",NA
"94NA6SCFHJ","4","0"
"Q0QUSR04XU","9",NA
"8W2YZB3P8S","17","23"
"CHTJ27OLFW","21",NA
"HQEL1HKWT1","7","3"
"3U88PFXSY2","4","20"
"MC33I48GMB","13","22"
"IU3TVRQPYX","8","12"
"XMU7KOHSTG",NA,NA
"IU73I02WJP","10","13"
"4YP5USKJSY","15","20"
"ANIXNEHF9L","10","10"
"JWNWL2NRPE","17","22"
"PL4Q8X1GJE","7","5"
"F9YL2KZGMA","10","12"
"J9X11N5G50",NA,NA
"1PNZO06XHS","12","6"
"PT6ECMX2MZ","0","16"
"1OXEY1UZ67","0","4"
"4I6FE31ZYJ","5","1"
"ZJGKM92QOY","14","22"
"9VUYQDA5DB","9","0"
"XKCD18N0HY","6",NA
"Q3Q0DFJVMJ","10","16"
"JE42QY01KE","7","12"
"BR983ULUK7","6","14"
"HBVTSV7ROA",NA,NA
"GCG4FTGBCR","11","13"
"VUBZXYOICT","9",NA
"FD1G23HIV7","8","10"
"X6ZA4EPZYM","11","3"
"JNGVL4AZQB","13","18"
"FKVXPCTG27","7",NA
"NPZSB7G9GN","19","4"
"FA4WMG9D7O",NA,NA
"NEKUQU5JPT","4",NA
"O81XZJ9T2M","13",NA
"OYVTO0RGNI","6","5"
"0QCVQB6GN4","5","9"
"I7K5TB8XWM","4","4"
"WI7VCAJIQ1","15","18"
"T09JODEYZM","3","5"
"WJWA9ID9SU","21","21"
"22OMNW0DLT","15",NA
"M0BO5193UZ","6",NA
"X1LNMDLGBJ","17","22"
"3ACUR7CLQH","7","8"
"L8V91WNW3A",NA,"6"
"EMJUQJLTYA","10","14"
"SHRFLNVXTE","6",NA
"5LWQ5R76SB","22","23"
"RGHMMB1P2Y","19","20"
"QDK238VD4F","16","17"
"KIZJFJM0PC","13",NA
"81MMRUSFUB","11",NA
"Q8O7F27NZX","5","7"
"YEBJQZN61W","16","20"
"7A5UTW2E1R","10","19"
"NYAP96GVDJ","17",NA
"K1TSB1G9CD","8","17"
"4Q4N7CKPMK","14","22"
"NEHQGZ5AF0","14","3"
"FKP45H632Y","18","22"
"QBXR9Y67B7","13",NA
"YYGV3MGXQN","6","3"
"RQW3RN3ICH",NA,"5"
"ZOGP4WG44C","12","13"
"P79T2CL4IS","13","8"
"CQBOQIAJ8Y","12","25"
"B9O24FUC0W","17","16"
"KJGU7OVS6T","12","17"
"0BPIW5BYME","14","15"
"HEO31FMWMA","14","20"
"V6M77DVH6J","20","22"
"1GVWMBXI3C",NA,NA
"MDZHD1YXIP","11","2"
"QJ1LOO467R","15","3"
"0673OJ0DRF","12","9"
"T98W8AMN2F","13","18"
"YOJKYNLADJ","10",NA
"RAYW51HRBA","7","0"
"6BGAQIZ3WP","0","6"
"Q3ENFYNOZ2","12",NA
"9SH0SQPV3Z",NA,"14"
"3ZDVNEAVMB",NA,"9"
"BCATXODZD6","5","0"
"LXKG14FN55","7",NA
"TBGNBQ7F35",NA,NA
"JLIUFGJ0CT",NA,NA
"L9BVI27RZA","12","14"
"ZN70H06JQQ",NA,NA
"LQTKZ30M41","19","15"
"C7QZYG6NXF","18","24"
"KNAQ1HVCA4","12","17"
"8YHI3D1QFK","10",NA
